,account_id,reputation,user_id,accept_rate,link,display_name,Bronze_Badge_Count,Silver_Badge_Count,Gold_Badge_Count,Tag_Name,Answer_Count,Answer_Score,Question_Count,Question_Score
0,11683,1450272,22656,86,https://stackoverflow.com/users/22656/jon-skeet,Jon Skeet,9243,9192,874,c#,19897,264915,23,2690
1,11683,1450272,22656,86,https://stackoverflow.com/users/22656/jon-skeet,Jon Skeet,9243,9192,874,java,10573,157949,1,26
2,11683,1450272,22656,86,https://stackoverflow.com/users/22656/jon-skeet,Jon Skeet,9243,9192,874,.net,5616,91979,8,800
3,11683,1450272,22656,86,https://stackoverflow.com/users/22656/jon-skeet,Jon Skeet,9243,9192,874,linq,2997,38300,0,0
4,11683,1450272,22656,86,https://stackoverflow.com/users/22656/jon-skeet,Jon Skeet,9243,9192,874,string,1008,24729,2,111
5,11683,1450272,22656,86,https://stackoverflow.com/users/22656/jon-skeet,Jon Skeet,9243,9192,874,generics,1288,22363,1,115
6,11683,1450272,22656,86,https://stackoverflow.com/users/22656/jon-skeet,Jon Skeet,9243,9192,874,date,474,17986,0,0
7,11683,1450272,22656,86,https://stackoverflow.com/users/22656/jon-skeet,Jon Skeet,9243,9192,874,timezone,343,15189,1,26
8,11683,1450272,22656,86,https://stackoverflow.com/users/22656/jon-skeet,Jon Skeet,9243,9192,874,multithreading,1077,13474,0,0
9,11683,1450272,22656,86,https://stackoverflow.com/users/22656/jon-skeet,Jon Skeet,9243,9192,874,arrays,1003,12066,0,0
10,4243,1330967,6309,100,https://stackoverflow.com/users/6309/vonc,VonC,5373,4536,538,git,15986,146303,1,6
11,4243,1330967,6309,100,https://stackoverflow.com/users/6309/vonc,VonC,5373,4536,538,github,6093,33196,0,0
12,4243,1330967,6309,100,https://stackoverflow.com/users/6309/vonc,VonC,5373,4536,538,docker,1944,16231,0,0
13,4243,1330967,6309,100,https://stackoverflow.com/users/6309/vonc,VonC,5373,4536,538,eclipse,1882,16167,2,38
14,4243,1330967,6309,100,https://stackoverflow.com/users/6309/vonc,VonC,5373,4536,538,version-control,1395,13839,0,0
15,4243,1330967,6309,100,https://stackoverflow.com/users/6309/vonc,VonC,5373,4536,538,java,1214,11878,3,100
16,4243,1330967,6309,100,https://stackoverflow.com/users/6309/vonc,VonC,5373,4536,538,go,1261,10455,3,31
17,4243,1330967,6309,100,https://stackoverflow.com/users/6309/vonc,VonC,5373,4536,538,branch,500,9961,0,0
18,4243,1330967,6309,100,https://stackoverflow.com/users/6309/vonc,VonC,5373,4536,538,git-submodules,610,9098,0,0
19,4243,1330967,6309,100,https://stackoverflow.com/users/6309/vonc,VonC,5373,4536,538,git-branch,344,8578,0,0
20,1165580,1253166,1144035,0,https://stackoverflow.com/users/1144035/gordon-linoff,Gordon Linoff,810,666,58,sql,76158,102296,0,0
21,1165580,1253166,1144035,0,https://stackoverflow.com/users/1144035/gordon-linoff,Gordon Linoff,810,666,58,sql-server,21003,33588,0,0
22,1165580,1253166,1144035,0,https://stackoverflow.com/users/1144035/gordon-linoff,Gordon Linoff,810,666,58,mysql,24925,31828,0,0
23,1165580,1253166,1144035,0,https://stackoverflow.com/users/1144035/gordon-linoff,Gordon Linoff,810,666,58,oracle,8746,12244,0,0
24,1165580,1253166,1144035,0,https://stackoverflow.com/users/1144035/gordon-linoff,Gordon Linoff,810,666,58,postgresql,7873,11417,0,0
25,1165580,1253166,1144035,0,https://stackoverflow.com/users/1144035/gordon-linoff,Gordon Linoff,810,666,58,t-sql,5551,9660,0,0
26,1165580,1253166,1144035,0,https://stackoverflow.com/users/1144035/gordon-linoff,Gordon Linoff,810,666,58,database,4746,6355,0,0
27,1165580,1253166,1144035,0,https://stackoverflow.com/users/1144035/gordon-linoff,Gordon Linoff,810,666,58,sql-server-2008,2523,4817,0,0
28,1165580,1253166,1144035,0,https://stackoverflow.com/users/1144035/gordon-linoff,Gordon Linoff,810,666,58,join,3572,4442,0,0
29,1165580,1253166,1144035,0,https://stackoverflow.com/users/1144035/gordon-linoff,Gordon Linoff,810,666,58,php,3392,4018,0,0
30,52822,1093315,157882,93,https://stackoverflow.com/users/157882/balusc,BalusC,3566,3626,374,java,6382,79608,4,278
